Date,Open,High,Low,Close,Volume
2025-02-03,592.67,600.29,590.49,597.77,65857248.0
2025-02-04,597.83,602.3,597.28,601.78,33457815.0
2025-02-05,600.64,604.37,598.58,604.22,30653149.0
2025-02-06,605.99,606.4525,602.63,606.32,35771503.0
2025-02-07,606.89,608.13,600.05,600.77,50788516.0
2025-02-10,604.03,605.4999,602.74,604.85,26048714.0
2025-02-11,602.55,605.86,602.43,605.31,30056740.0
2025-02-12,599.2,604.55,598.51,603.36,45076076.0
2025-02-13,604.48,609.94,603.2,609.73,40921297.0
2025-02-14,609.94,610.99,609.07,609.7,26910448.0
2025-02-18,610.88,611.49,608.38,611.49,26749030.0
2025-02-19,610.08,613.23,609.56,612.93,31011072.0
2025-02-20,611.54,611.684,607.02,610.38,36554002.0
2025-02-21,610.16,610.3,599.47,599.94,76519818.0
2025-02-24,602.02,603.03,596.49,597.21,50737213.0
2025-02-25,597.15,597.89,589.56,594.24,58266472.0
2025-02-26,595.93,599.58,591.8556,594.54,43321578.0
2025-02-27,596.85,598.02,584.65,585.05,74196664.0
2025-02-28,585.56,594.72,582.44,594.18,88744106.0
2025-03-03,596.18,597.34,579.9,583.77,74249199.0
2025-03-04,579.71,585.39,572.25,576.86,109648212.0
2025-03-05,576.69,584.88,573.0795,583.06,71230528.0
2025-03-06,575.48,580.1736,570.12,572.71,80094868.0
2025-03-07,570.9,577.39,565.63,575.92,81158816.0
2025-03-10,567.59,569.54,555.59,560.58,99326624.0
2025-03-11,559.4,564.02,552.02,555.92,88102109.0
2025-03-12,562.17,563.11,553.69,558.87,69588167.0
2025-03-13,558.49,559.105,549.68,551.42,74079414.0
2025-03-14,556.11,563.83,551.4917,562.81,62660321.0
2025-03-17,562.79,569.71,562.35,567.15,49008709.0
2025-03-18,564.8,565.02,559.06,561.02,66041422.0
2025-03-19,562.83,570.95,561.63,567.13,66555985.0
2025-03-20,563.33,570.57,562.6012,565.49,62958195.0
2025-03-21,559.28,564.89,558.03,563.98,83762964.0
2025-03-24,570.8,575.15,570.2,574.08,58766795.0
2025-03-25,575.3,576.41,573.69,575.46,38355735.0
2025-03-26,575.19,576.33,567.19,568.59,52228898.0
2025-03-27,567.18,570.9,564.94,567.08,42164248.0
2025-03-28,565.53,566.2675,555.07,555.66,71662653.0
2025-03-31,549.83,560.7112,546.87,559.39,95328213.0
2025-04-01,557.45,562.94,553.68,560.97,54609641.0
2025-04-02,555.05,567.42,554.81,564.52,76014544.0
2025-04-03,545.11,547.97,536.7,536.7,125985998.0
2025-04-04,523.67,525.87,505.06,505.28,217965131.0
2025-04-07,489.19,523.17,481.8,504.38,256611355.0
2025-04-08,521.86,524.98,489.16,496.48,165816581.0
2025-04-09,493.44,548.62,493.05,548.62,241867317.0
2025-04-10,532.17,533.495,509.32,524.58,162331225.0
2025-04-11,523.01,536.43,520.07,533.94,97866334.0
2025-04-14,544.05,544.28,533.86,539.12,68033993.0
2025-04-15,539.675,543.23,536.81,537.61,56892874.0
2025-04-16,531.68,537.8854,520.29,525.66,83484814.0
2025-04-17,527.64,531.165,523.91,526.41,79868083.0
2025-04-21,521.16,521.7,508.46,513.88,69368129.0
2025-04-22,520.14,529.305,519.1925,527.25,75948117.0
2025-04-23,540.43,545.43,533.88,535.42,90590658.0
2025-04-24,536.715,547.43,535.4504,546.69,64150418.0
2025-04-25,546.65,551.05,543.69,550.64,61119590.0
2025-04-28,551.39,553.55,545.02,550.85,47613755.0
2025-04-29,548.91,555.45,548.55,554.32,47775121.0
2025-04-30,547.57,556.52,541.52,554.54,93101463.0
2025-05-01,560.37,564.0699,557.86,558.47,63186146.0
2025-05-02,564.73,568.38,562.38,566.76,60717270.0
2025-05-05,562.57,566.65,561.7,563.51,38659222.0
2025-05-06,557.93,563.3476,556.96,558.8,48264708.0
2025-05-07,560.15,563.82,556.04,561.15,55733229.0
2025-05-08,565.24,570.31,561.7,565.06,65130787.0
2025-05-09,566.48,567.5,562.7637,564.34,37603427.0
2025-05-12,581.47,583.0,577.04,582.99,78993570.0
2025-05-13,583.41,589.08,582.84,586.84,67947225.0
2025-05-14,587.81,588.98,585.535,587.59,66283531.0
2025-05-15,585.56,590.97,585.0969,590.46,71268145.0
2025-05-16,591.25,594.5,589.28,594.2,76052101.0
2025-05-19,588.1,595.54,588.1,594.85,68168509.0
2025-05-20,593.09,594.05,589.6,592.85,60614492.0
2025-05-21,588.44,592.58,581.82,582.86,95197657.0
2025-05-22,582.66,586.62,581.405,583.09,70860417.0
2025-05-23,575.98,581.8101,575.6,579.11,76029046.0
2025-05-27,586.07,591.31,578.43,591.15,72588475.0
2025-05-28,591.56,592.7688,586.985,587.73,68445512.0
2025-05-29,593.06,593.2,586.07,590.05,70073758.0
2025-05-30,588.93,591.1299,583.235,589.39,90601242.0
2025-06-02,587.76,592.79,585.06,592.71,61630502.0
2025-06-03,592.34,597.08,591.85,596.09,63606204.0
2025-06-04,596.96,597.95,595.49,595.93,57314199.0
2025-06-05,597.63,599.0,591.05,593.05,92436397.0
2025-06-06,598.66,600.83,596.86,599.14,66588743.0
2025-06-09,599.72,601.25,598.49,599.68,53016418.0
2025-06-10,600.22,603.47,599.09,603.08,66246973.0
2025-06-11,604.19,605.06,599.27,601.36,73658225.0
2025-06-12,600.01,603.75,599.52,603.75,64129003.0
2025-06-13,598.5,601.85,595.48,597.0,89505996.0
2025-06-16,600.4,604.45,600.22,602.68,79984125.0
2025-06-17,600.21,601.75,596.76,597.53,82209365.0
2025-06-18,598.44,601.22,596.47,597.44,76605029.0
2025-06-20,598.38,599.46,592.86,594.28,94051374.0
2025-06-23,595.04,600.54,591.89,600.15,87426039.0
2025-06-24,604.33,607.8499,603.41,606.78,67735293.0
2025-06-25,607.91,608.61,605.54,607.12,62114767.0
2025-06-26,608.99,612.31,608.37,611.87,78548361.0
2025-06-27,612.88,616.39,610.83,614.91,86258398.0
2025-06-30,617.38,619.22,615.04,617.85,92502541.0
2025-07-01,616.36,618.83,615.52,617.65,70030140.0
2025-07-02,617.24,620.49,616.61,620.45,66510374.0
