Price,Close,High,Low,Open,Volume
Ticker,VOO,VOO,VOO,VOO,VOO
Date,,,,,
2025-09-29,610.1300048828125,611.6799926757812,608.47998046875,610.7899780273438,5658800
2025-09-30,612.3800048828125,612.8599853515625,608.27001953125,609.4299926757812,6515700
2025-10-01,614.5700073242188,615.3900146484375,609.5700073242188,609.7000122070312,10020000
2025-10-02,615.25,616.47998046875,613.02001953125,616.4099731445312,7139500
2025-10-03,615.2999877929688,618.4199829101562,614.2899780273438,615.9500122070312,7210700
2025-10-06,617.4000244140625,618.280029296875,615.47998046875,617.4600219726562,6056400
2025-10-07,615.2000122070312,618.739990234375,613.8200073242188,618.2999877929688,7466300
2025-10-08,618.77001953125,618.9000244140625,615.4600219726562,616.219970703125,5035200
2025-10-09,617.0999755859375,619.5900268554688,615.280029296875,619.22998046875,5898500
2025-10-10,600.510009765625,619.5999755859375,600.22998046875,617.989990234375,13664200
2025-10-13,609.6099853515625,611.030029296875,606.5800170898438,607.3699951171875,6968400
2025-10-14,608.75,612.1400146484375,600.510009765625,604.2000122070312,7493500
2025-10-15,611.4299926757812,616.2100219726562,605.8200073242188,613.0700073242188,6504900
2025-10-16,607.3900146484375,614.7999877929688,604.1400146484375,613.1099853515625,7594800
2025-10-17,610.760009765625,612.02001953125,605.0999755859375,606.3400268554688,6911000
2025-10-20,617.1699829101562,618.010009765625,613.510009765625,613.510009765625,4086200
2025-10-21,617.0900268554688,618.739990234375,615.97998046875,617.3300170898438,4216200
2025-10-22,613.969970703125,617.8300170898438,609.8300170898438,617.8300170898438,6961600
2025-10-23,617.4400024414062,618.469970703125,613.989990234375,614.25,5851800
2025-10-24,622.5499877929688,623.7899780273438,621.2100219726562,621.9199829101562,5694900
2025-10-27,630.0,630.2899780273438,627.1599731445312,627.739990234375,7804300
2025-10-28,631.6900024414062,633.3900146484375,629.6400146484375,631.7100219726562,5625600
2025-10-29,631.9500122070312,634.1300048828125,627.8699951171875,633.2100219726562,6104500
2025-10-30,625.239990234375,630.6300048828125,625.0999755859375,628.8099975585938,6243300
2025-10-31,627.0399780273438,629.9400024414062,624.5,629.8400268554688,7052800
